,sigma_sq,alpha
219,4.075552267,14.47916984
220,2.359397691,11.47549773
221,2.698506647,16.58465245
222,3.119947008,13.98655261
223,4.213887791,10.87984936
224,4.012809476,11.92558449
225,2.56932428,14.99636324
226,2.411106238,14.44576981
227,3.150800109,13.20026706
228,3.54266889,10.78500092
229,3.341096023,10.57293274
230,3.059147619,9.075297689
231,3.053914067,10.36259467
232,2.628188577,10.13614286
233,2.616559913,12.50835846
234,2.904847312,13.06780172
235,2.642936888,11.13861062
236,2.111070853,16.07029826
237,2.661216397,11.59178989
238,3.763793921,9.449193318
239,3.161143456,12.54930631
240,2.916657283,11.9023886
241,3.205872087,10.9288235
242,3.885882106,10.60535511
243,5.582737034,15.00524665
244,3.205232596,11.82618496
245,3.676773037,11.31585857
246,2.637756004,15.92260614
247,2.737486939,15.22551267
248,2.529109924,11.73862603
249,2.839823913,11.93594795
250,3.159072327,11.90033049
251,2.980491989,12.66675094
252,3.328810918,10.65157007
253,2.390691003,10.4655085
254,2.788414036,8.857916509
255,2.628141323,11.03666757
256,3.22211613,14.25916384
257,3.085473034,11.08668532
258,3.920775881,24.7573211
259,2.601411236,12.55559484
260,2.298686856,16.43946503
261,2.986591484,13.80572159
262,3.127797697,10.68931079
263,3.812400506,8.464158787
264,3.015116147,10.87260259
265,3.170927893,19.88310986
266,2.620225675,15.03139833
267,2.931033769,13.56584457
268,5.13480954,12.88409451
269,3.744385774,11.76945222
270,3.793477187,11.00120323
271,2.242819357,12.81433267
272,2.993632499,9.505967383
273,2.636195567,17.79310363
274,5.752951167,16.1842812
275,3.136353889,14.01374898
276,4.300995932,9.698786448
277,3.32284428,11.79703068
278,3.024853636,13.38658587
279,2.276061963,12.26488385
280,2.869234977,11.96186928
281,2.745700075,11.53927893
282,2.538543073,22.32324502
283,3.944210872,11.0870013
284,2.955994155,12.84005805
285,3.692609508,12.43446952
286,2.755242557,15.44441293
287,2.594850775,17.07101333
288,2.649802963,13.35281811
289,3.162223492,14.04910705
290,2.91732915,11.255251
291,3.070086875,9.779034306
292,2.853110308,11.43838908
293,3.196584977,14.10138003
294,3.322758799,11.07817467
295,3.51759507,16.72372547
296,2.933210706,16.82938474
297,2.424531042,21.25520731
298,2.557027614,13.01970812
299,3.076125983,18.6164418
300,3.570722763,9.071371457
301,3.386375051,16.38157539
302,3.327573617,10.18800554
303,2.438902876,13.86990524
304,3.74849803,14.14251128
305,2.869237906,9.007270472
306,2.794298657,8.576467749
307,2.553144365,9.508541115
308,4.463751198,11.8100641
309,2.726113042,10.50935892
310,3.152459057,13.70174048
311,3.012152097,14.86930277
312,2.508706026,11.55873282
313,2.072833219,16.43742289
314,3.161586408,11.28946011
315,2.311058921,15.29520459
316,2.664265551,10.08114889
317,2.4552166,10.4922869
318,2.220390338,32.85350838
319,2.887387467,10.27214741
320,3.967949677,10.13300661
321,3.175810167,14.81242737
322,2.978014089,10.39462319
323,2.506250469,13.72948252
324,3.259725904,13.89406288
325,3.821547322,11.69309854
326,6.023446771,10.04620712
327,2.908253239,11.59504591
328,4.992654932,15.29625164
329,3.922169886,14.92109477
330,3.846189808,8.728067346
331,4.140613345,14.60317917
332,2.350227899,13.48260016
333,3.69947678,13.82746163
334,2.543961499,12.41400511
335,3.178707694,10.54049095
336,3.750242077,10.08593547
337,2.6656466,20.60252418
338,2.827543269,12.74686901
339,2.902582982,13.01970148
340,2.380334121,13.34312393
341,2.956853573,9.784982408
342,2.528450041,14.5343837
343,2.92681766,15.66317022
344,4.558686344,11.07985864
345,3.843808021,12.08506189
346,3.385081466,10.53684496
347,2.264994186,17.56710037
348,3.632920612,14.78315821
349,2.532873132,13.67435296
350,4.317336228,15.23919469
351,3.160843124,11.6537207
352,2.335024726,14.49259094
353,5.142760466,13.45815244
354,2.903580094,12.60050027
355,2.812406589,12.02341069
356,3.002420178,16.63592007
357,2.320984786,10.43166152
358,2.638931584,12.85280981
359,2.92350226,16.95321059
360,2.215317543,16.17199821
361,5.127127188,13.70090184
362,3.178255149,9.794318772
363,3.183678416,8.859791321
364,3.023872185,13.45229117
365,2.403964099,14.8382787
366,2.894024621,18.47180145
367,2.463303961,14.23222619
368,3.057981726,11.53545628
369,3.177719878,9.722171674
370,5.367601156,12.52816672
371,2.42877295,14.70150436
372,2.823532745,9.800346126
373,3.535598489,11.14062513
374,2.836747103,19.35205347
375,3.24037637,10.05336548
376,3.22557511,11.04003677
377,2.274207906,10.00476797
378,3.667457592,14.23355449
379,2.966626736,8.959436083
380,2.716709027,11.78605853
381,3.347459763,11.84405545
382,4.04845844,11.63612374
383,3.468994361,15.69364096
384,3.385394584,12.74716142
385,2.881122426,11.97370453
386,3.948533703,13.23256363
387,4.337729984,10.8416926
388,3.19403323,17.64266958
389,2.44515262,11.94197054
390,2.932197567,16.50250894
391,2.942964003,8.614594628
392,2.05983587,13.89724852
393,3.241393962,15.62925301
394,2.877290358,16.22212816
395,3.17433076,19.38057482
